antecedent,consequent,support,confidence,lift
['bags'],['yogurt'],0.0,0.5,5.61
['rubbing_alcohol'],['whole_milk'],0.0,0.4,2.39
['rubbing_alcohol'],['shopping_bags'],0.0,0.4,8.19
['rubbing_alcohol'],['domestic_eggs'],0.0,0.4,10.57
['rubbing_alcohol'],"['frankfurter', 'domestic_eggs']",0.0,0.4,284.99
"['rubbing_alcohol', 'frankfurter']",['domestic_eggs'],0.0,1.0,26.43
"['rubbing_alcohol', 'domestic_eggs']",['frankfurter'],0.0,1.0,25.8
['rubbing_alcohol'],['frankfurter'],0.0,0.4,10.32
['whisky'],['pastry'],0.0,0.25,4.77
['whisky'],['specialty_chocolate'],0.0,0.25,15.59
['whisky'],['root_vegetables'],0.0,0.25,3.49
['hair_spray'],['whole_milk'],0.0,0.22,1.33
['liqueur'],['yogurt'],0.0,0.22,2.49
['liqueur'],['whole_milk'],0.0,0.22,1.33
['decalcifier'],['whipped/sour_cream'],0.0,0.22,5.02
['decalcifier'],['root_vegetables'],0.0,0.22,3.1
['specialty_vegetables'],['yogurt'],0.0,0.27,3.06
['cream'],['newspapers'],0.0,0.25,6.28
['cream'],['sausage'],0.0,0.25,4.05
['honey'],['whole_milk'],0.0,0.23,1.38
['honey'],['sausage'],0.0,0.23,3.74
['ready_soups'],['whole_milk'],0.0,0.27,1.6
"['canned_beer', 'cookware']",['bottled_water'],0.0,0.67,10.69
"['cookware', 'bottled_water']",['canned_beer'],0.0,1.0,20.87
"['cookware', 'oil']",['whole_milk'],0.0,0.67,3.99
"['cookware', 'whole_milk']",['oil'],0.0,0.5,33.25
['cookware'],['whole_milk'],0.0,0.24,1.41
"['other_vegetables', 'prosecco']",['ice_cream'],0.0,0.5,32.96
"['ice_cream', 'prosecco']",['other_vegetables'],0.0,1.0,7.88
"['sausage', 'prosecco']",['whole_milk'],0.0,0.5,2.99
"['whole_milk', 'prosecco']",['sausage'],0.0,1.0,16.19
"['other_vegetables', 'prosecco']",['whole_milk'],0.0,0.5,2.99
"['whole_milk', 'prosecco']",['other_vegetables'],0.0,1.0,7.88
"['sausage', 'prosecco']","['other_vegetables', 'whole_milk']",0.0,0.5,33.7
"['other_vegetables', 'prosecco']","['sausage', 'whole_milk']",0.0,0.5,55.83
"['whole_milk', 'prosecco']","['sausage', 'other_vegetables']",0.0,1.0,166.24
"['sausage', 'other_vegetables', 'prosecco']",['whole_milk'],0.0,1.0,5.98
"['sausage', 'whole_milk', 'prosecco']",['other_vegetables'],0.0,1.0,7.88
"['other_vegetables', 'whole_milk', 'prosecco']",['sausage'],0.0,1.0,16.19
"['sausage', 'prosecco']",['waffles'],0.0,0.5,26.72
"['prosecco', 'waffles']",['sausage'],0.0,1.0,16.19
"['sausage', 'prosecco']","['whole_milk', 'waffles']",0.0,0.5,191.82
"['prosecco', 'waffles']","['sausage', 'whole_milk']",0.0,1.0,111.66
"['whole_milk', 'prosecco']","['sausage', 'waffles']",0.0,1.0,1246.83
"['sausage', 'whole_milk', 'waffles']",['prosecco'],0.0,0.5,393.74
"['sausage', 'prosecco', 'waffles']",['whole_milk'],0.0,1.0,5.98
"['sausage', 'whole_milk', 'prosecco']",['waffles'],0.0,1.0,53.44
"['prosecco', 'whole_milk', 'waffles']",['sausage'],0.0,1.0,16.19
"['prosecco', 'waffles']",['other_vegetables'],0.0,1.0,7.88
"['other_vegetables', 'prosecco']",['waffles'],0.0,0.5,26.72
"['sausage', 'prosecco']","['other_vegetables', 'waffles']",0.0,0.5,287.73
"['prosecco', 'waffles']","['sausage', 'other_vegetables']",0.0,1.0,166.24
"['other_vegetables', 'prosecco']","['sausage', 'waffles']",0.0,0.5,623.42
"['sausage', 'other_vegetables', 'waffles']",['prosecco'],0.0,0.4,314.99
"['sausage', 'prosecco', 'waffles']",['other_vegetables'],0.0,1.0,7.88
"['sausage', 'other_vegetables', 'prosecco']",['waffles'],0.0,1.0,53.44
"['other_vegetables', 'prosecco', 'waffles']",['sausage'],0.0,1.0,16.19
"['sausage', 'prosecco']","['other_vegetables', 'whole_milk', 'waffles']",0.0,0.5,1068.71
"['whole_milk', 'prosecco']","['sausage', 'other_vegetables', 'waffles']",0.0,1.0,2992.4
"['prosecco', 'waffles']","['sausage', 'other_vegetables', 'whole_milk']",0.0,1.0,1068.71
"['other_vegetables', 'prosecco']","['sausage', 'whole_milk', 'waffles']",0.0,0.5,1870.25
"['sausage', 'whole_milk', 'waffles']","['other_vegetables', 'prosecco']",0.0,0.5,1870.25
"['sausage', 'whole_milk', 'prosecco']","['other_vegetables', 'waffles']",0.0,1.0,575.46
"['sausage', 'other_vegetables', 'waffles']","['whole_milk', 'prosecco']",0.0,0.4,2992.4
"['sausage', 'prosecco', 'waffles']","['other_vegetables', 'whole_milk']",0.0,1.0,67.4
"['sausage', 'other_vegetables', 'prosecco']","['whole_milk', 'waffles']",0.0,1.0,383.64
"['other_vegetables', 'whole_milk', 'waffles']","['sausage', 'prosecco']",0.0,0.29,1068.71
"['prosecco', 'whole_milk', 'waffles']","['sausage', 'other_vegetables']",0.0,1.0,166.24
"['other_vegetables', 'whole_milk', 'prosecco']","['sausage', 'waffles']",0.0,1.0,1246.83
"['other_vegetables', 'prosecco', 'waffles']","['sausage', 'whole_milk']",0.0,1.0,111.66
"['sausage', 'other_vegetables', 'whole_milk', 'waffles']",['prosecco'],0.0,0.67,524.98
"['sausage', 'prosecco', 'whole_milk', 'waffles']",['other_vegetables'],0.0,1.0,7.88
"['sausage', 'other_vegetables', 'whole_milk', 'prosecco']",['waffles'],0.0,1.0,53.44
"['sausage', 'other_vegetables', 'prosecco', 'waffles']",['whole_milk'],0.0,1.0,5.98
"['prosecco', 'other_vegetables', 'whole_milk', 'waffles']",['sausage'],0.0,1.0,16.19
"['prosecco', 'waffles']","['other_vegetables', 'whole_milk']",0.0,1.0,67.4
"['other_vegetables', 'prosecco']","['whole_milk', 'waffles']",0.0,0.5,191.82
"['whole_milk', 'prosecco']","['other_vegetables', 'waffles']",0.0,1.0,575.46
"['other_vegetables', 'whole_milk', 'waffles']",['prosecco'],0.0,0.29,224.99
"['other_vegetables', 'prosecco', 'waffles']",['whole_milk'],0.0,1.0,5.98
"['prosecco', 'whole_milk', 'waffles']",['other_vegetables'],0.0,1.0,7.88
"['other_vegetables', 'whole_milk', 'prosecco']",['waffles'],0.0,1.0,53.44
"['prosecco', 'waffles']",['whole_milk'],0.0,1.0,5.98
"['whole_milk', 'prosecco']",['waffles'],0.0,1.0,53.44
['prosecco'],['sausage'],0.0,0.21,3.41
['prosecco'],['other_vegetables'],0.0,0.21,1.66
"['sausage', 'prosecco']",['other_vegetables'],0.0,0.5,3.94
"['other_vegetables', 'prosecco']",['sausage'],0.0,0.5,8.1
"['skin_care', 'other_vegetables']",['domestic_eggs'],0.0,0.67,17.62
"['skin_care', 'domestic_eggs']",['other_vegetables'],0.0,1.0,7.88
