antecedent,consequent,support,confidence,lift
['bags'],['yogurt'],0.0,0.5,5.61
['rubbing_alcohol'],['whole_milk'],0.0,0.4,2.39
['rubbing_alcohol'],['shopping_bags'],0.0,0.4,8.19
['rubbing_alcohol'],['domestic_eggs'],0.0,0.4,10.57
['rubbing_alcohol'],"['frankfurter', 'domestic_eggs']",0.0,0.4,284.99
"['rubbing_alcohol', 'domestic_eggs']",['frankfurter'],0.0,1.0,25.8
"['rubbing_alcohol', 'frankfurter']",['domestic_eggs'],0.0,1.0,26.43
"['frankfurter', 'domestic_eggs']",['rubbing_alcohol'],0.0,0.1,284.99
['rubbing_alcohol'],['frankfurter'],0.0,0.4,10.32
['whisky'],['specialty_chocolate'],0.0,0.25,15.59
['whisky'],['pastry'],0.0,0.25,4.77
['whisky'],['root_vegetables'],0.0,0.25,3.49
['hair_spray'],['whole_milk'],0.0,0.22,1.33
['liqueur'],['yogurt'],0.0,0.22,2.49
['liqueur'],['whole_milk'],0.0,0.22,1.33
['decalcifier'],['whipped/sour_cream'],0.0,0.22,5.02
['decalcifier'],['root_vegetables'],0.0,0.22,3.1
['organic_products'],['chicken'],0.0,0.2,7.09
['organic_products'],['whole_milk'],0.0,0.2,1.2
['frozen_fruits'],['tropical_fruit'],0.0,0.18,2.64
['specialty_vegetables'],['yogurt'],0.0,0.27,3.06
['cream'],['sausage'],0.0,0.25,4.05
['cream'],['newspapers'],0.0,0.25,6.28
['flower_(seeds)'],['honey'],0.0,0.03,32.88
['honey'],['flower_(seeds)'],0.0,0.15,32.88
['honey'],['newspapers'],0.0,0.15,3.86
['honey'],['other_vegetables'],0.0,0.15,1.21
['honey'],['whipped/sour_cream'],0.0,0.15,3.48
['honey'],['whole_milk'],0.0,0.23,1.38
['honey'],['sausage'],0.0,0.23,3.74
['ready_soups'],['white_bread'],0.0,0.13,5.51
['ready_soups'],['canned_beer'],0.0,0.13,2.78
['ready_soups'],['other_vegetables'],0.0,0.13,1.05
['ready_soups'],['baking_powder'],0.0,0.13,16.35
['baking_powder'],['ready_soups'],0.0,0.02,16.35
['ready_soups'],['soda'],0.0,0.13,1.32
['ready_soups'],['whole_milk'],0.0,0.27,1.6
['cooking_chocolate'],['other_vegetables'],0.0,0.13,1.05
['cooking_chocolate'],['tropical_fruit'],0.0,0.13,1.93
['canned_fish'],['cocoa_drinks'],0.0,0.02,16.12
['cocoa_drinks'],['canned_fish'],0.0,0.12,16.12
['cocoa_drinks'],['whole_milk'],0.0,0.12,0.75
['cocoa_drinks'],['soda'],0.0,0.12,1.24
['cocoa_drinks'],['bottled_water'],0.0,0.12,2.0
['cocoa_drinks'],['sausage'],0.0,0.19,3.04
['flower_soil/fertilizer'],['curd'],0.0,0.12,3.64
['flower_soil/fertilizer'],['other_vegetables'],0.0,0.12,0.99
['flower_soil/fertilizer'],['yogurt'],0.0,0.12,1.4
['flower_soil/fertilizer'],['rolls/buns'],0.0,0.12,1.09
['flower_soil/fertilizer'],['whole_milk'],0.0,0.12,0.75
['flower_soil/fertilizer'],['tropical_fruit'],0.0,0.12,1.81
['cookware'],['frozen_vegetables'],0.0,0.12,4.14
['cookware'],['bottled_water'],0.0,0.12,1.89
['cookware'],"['canned_beer', 'bottled_water']",0.0,0.12,80.01
"['canned_beer', 'cookware']",['bottled_water'],0.0,0.67,10.69
"['canned_beer', 'bottled_water']",['cookware'],0.0,0.09,80.01
"['cookware', 'bottled_water']",['canned_beer'],0.0,1.0,20.87
['cookware'],['other_vegetables'],0.0,0.12,0.93
['cookware'],['yogurt'],0.0,0.12,1.32
['spices'],['cookware'],0.0,0.05,44.01
['cookware'],['spices'],0.0,0.12,44.01
['cookware'],['canned_beer'],0.0,0.18,3.68
['oil'],['cookware'],0.0,0.01,11.73
['cookware'],['oil'],0.0,0.18,11.73
['cookware'],"['oil', 'whole_milk']",0.0,0.12,60.7
"['cookware', 'oil']",['whole_milk'],0.0,0.67,3.99
"['oil', 'whole_milk']",['cookware'],0.0,0.07,60.7
"['cookware', 'whole_milk']",['oil'],0.0,0.5,33.25
['cookware'],['whole_milk'],0.0,0.24,1.41
['bathroom_cleaner'],['waffles'],0.0,0.12,6.29
['bathroom_cleaner'],['other_vegetables'],0.0,0.12,0.93
['bathroom_cleaner'],['yogurt'],0.0,0.12,1.32
['bathroom_cleaner'],['rolls/buns'],0.0,0.12,1.03
['bathroom_cleaner'],['soda'],0.0,0.18,1.74
['bathroom_cleaner'],['whole_milk'],0.0,0.18,1.06
['pudding_powder'],['soda'],0.0,0.12,1.16
['pudding_powder'],['cream_cheese_'],0.0,0.12,4.92
['pudding_powder'],['whole_milk'],0.0,0.12,0.7
['pudding_powder'],['canned_beer'],0.0,0.12,2.46
['pudding_powder'],['yogurt'],0.0,0.12,1.32
['pudding_powder'],['pip_fruit'],0.0,0.12,2.37
['pudding_powder'],['other_vegetables'],0.0,0.18,1.39
['prosecco'],['pip_fruit'],0.0,0.11,2.12
['prosecco'],['fruit/vegetable_juice'],0.0,0.11,3.04
['prosecco'],['tropical_fruit'],0.0,0.11,1.53
['prosecco'],['rolls/buns'],0.0,0.11,0.92
['prosecco'],['waffles'],0.0,0.11,5.62
['prosecco'],"['other_vegetables', 'waffles']",0.0,0.11,60.57
"['prosecco', 'other_vegetables']",['waffles'],0.0,0.5,26.72
"['prosecco', 'waffles']",['other_vegetables'],0.0,1.0,7.88
"['other_vegetables', 'waffles']",['prosecco'],0.0,0.08,60.57
['prosecco'],"['other_vegetables', 'sausage', 'waffles']",0.0,0.11,314.99
"['prosecco', 'other_vegetables']","['sausage', 'waffles']",0.0,0.5,623.42
"['prosecco', 'sausage']","['other_vegetables', 'waffles']",0.0,0.5,287.73
"['prosecco', 'waffles']","['other_vegetables', 'sausage']",0.0,1.0,166.24
"['other_vegetables', 'sausage']","['prosecco', 'waffles']",0.0,0.02,166.24
"['other_vegetables', 'waffles']","['prosecco', 'sausage']",0.0,0.08,287.73
"['sausage', 'waffles']","['prosecco', 'other_vegetables']",0.0,0.17,623.42
"['prosecco', 'other_vegetables', 'sausage']",['waffles'],0.0,1.0,53.44
"['prosecco', 'other_vegetables', 'waffles']",['sausage'],0.0,1.0,16.19
"['prosecco', 'sausage', 'waffles']",['other_vegetables'],0.0,1.0,7.88
"['other_vegetables', 'sausage', 'waffles']",['prosecco'],0.0,0.4,314.99
['prosecco'],"['other_vegetables', 'sausage', 'waffles', 'whole_milk']",0.0,0.11,524.98
"['prosecco', 'other_vegetables']","['sausage', 'waffles', 'whole_milk']",0.0,0.5,1870.25
"['prosecco', 'whole_milk']","['other_vegetables', 'sausage', 'waffles']",0.0,1.0,2992.4
"['prosecco', 'sausage']","['other_vegetables', 'waffles', 'whole_milk']",0.0,0.5,1068.71
"['prosecco', 'waffles']","['other_vegetables', 'sausage', 'whole_milk']",0.0,1.0,1068.71
