antecedent,consequent,support,confidence,lift
['5'],['38'],0.21,0.78,1.03
['23'],['38'],0.23,0.8,1.06
['33'],['38'],0.23,0.77,1.02
['21'],['38'],0.25,0.79,1.04
['35'],['38'],0.29,0.78,1.03
"['29', '36']",['38'],0.21,0.79,1.05
['29'],['38'],0.3,0.78,1.02
"['36', '14']",['38'],0.2,0.81,1.07
['14'],['38'],0.31,0.78,1.03
"['36', '43']",['38'],0.22,0.8,1.06
['43'],['38'],0.31,0.79,1.04
"['9', '36']",['38'],0.22,0.78,1.03
['9'],['38'],0.33,0.77,1.01
"['47', '36']",['38'],0.23,0.8,1.06
['47'],['38'],0.35,0.78,1.03
"['39', '36']",['38'],0.23,0.8,1.05
['39'],['38'],0.35,0.78,1.03
"['40', '11']",['38'],0.2,0.8,1.06
"['36', '40']",['38'],0.23,0.78,1.03
['40'],['38'],0.35,0.77,1.02
"['17', '11']",['38'],0.2,0.81,1.06
"['17', '36']",['38'],0.23,0.8,1.05
['17'],['38'],0.36,0.78,1.03
"['28', '3']",['38'],0.2,0.8,1.06
"['48', '3']",['38'],0.21,0.79,1.05
"['3', '11']",['38'],0.22,0.8,1.05
"['36', '3']",['38'],0.25,0.79,1.05
['3'],['38'],0.38,0.77,1.02
"['28', '11']",['38'],0.21,0.79,1.05
"['48', '28']",['38'],0.22,0.81,1.07
"['28', '36']",['38'],0.25,0.78,1.03
['28'],['38'],0.38,0.78,1.03
"['48', '8']",['38'],0.22,0.79,1.05
"['8', '11']",['38'],0.22,0.79,1.05
"['36', '8']",['38'],0.26,0.79,1.05
['8'],['38'],0.39,0.77,1.02
"['48', '11']",['38'],0.23,0.79,1.04
"['36', '11']",['38'],0.27,0.79,1.04
['11'],['38'],0.41,0.78,1.03
"['48', '36']",['38'],0.27,0.8,1.05
['48'],['38'],0.41,0.78,1.03
['36'],['38'],0.49,0.77,1.02
